league,season,team,players_used_,age_,poss_,playing_time_mp,playing_time_starts,playing_time_min,playing_time_90s,performance_gls,performance_ast,performance_ga,performance_g_pk,performance_pk,performance_pkatt,performance_crdy,performance_crdr,per_90_minutes_gls,per_90_minutes_ast,per_90_minutes_ga,per_90_minutes_g_pk,per_90_minutes_ga_pk,url_
ENG-Premier League,1213,Arsenal,26,25.6,,38,418,3420,38,69,54,123,64,5,6,46,4,1.82,1.42,3.24,1.68,3.11,/en/squads/18bb7c10/2012-2013/Arsenal-Stats
ENG-Premier League,1213,Aston Villa,28,24.1,,38,418,3420,38,47,34,81,44,3,3,75,3,1.24,0.89,2.13,1.16,2.05,/en/squads/8602292d/2012-2013/Aston-Villa-Stats
ENG-Premier League,1213,Chelsea,26,26.4,,38,418,3420,38,71,50,121,62,9,11,54,3,1.87,1.32,3.18,1.63,2.95,/en/squads/cff3d9bb/2012-2013/Chelsea-Stats
ENG-Premier League,1213,Everton,23,28.8,,38,418,3420,38,53,42,95,51,2,2,63,3,1.39,1.11,2.5,1.34,2.45,/en/squads/d3fd31cc/2012-2013/Everton-Stats
ENG-Premier League,1213,Fulham,29,30.4,,38,418,3420,38,45,32,77,39,6,6,48,3,1.18,0.84,2.03,1.03,1.87,/en/squads/fd962109/2012-2013/Fulham-Stats
ENG-Premier League,1213,Liverpool,28,26.2,,38,418,3420,38,67,47,114,62,5,6,54,2,1.76,1.24,3.0,1.63,2.87,/en/squads/822bd0ba/2012-2013/Liverpool-Stats
ENG-Premier League,1213,Manchester City,25,26.7,,38,418,3420,38,64,45,109,60,4,6,64,3,1.68,1.18,2.87,1.58,2.76,/en/squads/b8fd03ef/2012-2013/Manchester-City-Stats
ENG-Premier League,1213,Manchester Utd,25,27.3,,38,418,3420,38,80,63,143,76,4,7,56,1,2.11,1.66,3.76,2.0,3.66,/en/squads/19538871/2012-2013/Manchester-United-Stats
ENG-Premier League,1213,Newcastle United,32,26.2,,38,418,3420,38,43,22,65,39,4,5,75,4,1.13,0.58,1.71,1.03,1.61,/en/squads/b2b47a98/2012-2013/Newcastle-United-Stats
ENG-Premier League,1213,Norwich City,27,26.7,,38,418,3420,38,40,27,67,39,1,2,60,1,1.05,0.71,1.76,1.03,1.74,/en/squads/1c781004/2012-2013/Norwich-City-Stats
ENG-Premier League,1213,QPR,30,28.2,,38,418,3420,38,29,22,51,28,1,4,61,3,0.76,0.58,1.34,0.74,1.32,/en/squads/a757999c/2012-2013/Queens-Park-Rangers-Stats
ENG-Premier League,1213,Reading,28,27.2,,38,418,3420,38,41,28,69,37,4,4,45,1,1.08,0.74,1.82,0.97,1.71,/en/squads/b0ac61ff/2012-2013/Reading-Stats
ENG-Premier League,1213,Southampton,25,25.3,,38,418,3420,38,46,25,71,43,3,3,43,2,1.21,0.66,1.87,1.13,1.79,/en/squads/33c895d4/2012-2013/Southampton-Stats
ENG-Premier League,1213,Stoke City,24,27.1,,38,418,3420,38,33,23,56,30,3,5,83,4,0.87,0.61,1.47,0.79,1.39,/en/squads/17892952/2012-2013/Stoke-City-Stats
ENG-Premier League,1213,Sunderland,29,26.2,,38,418,3420,38,39,24,63,35,4,4,63,3,1.03,0.63,1.66,0.92,1.55,/en/squads/8ef52968/2012-2013/Sunderland-Stats
ENG-Premier League,1213,Swansea City,25,26.6,,38,418,3420,38,47,32,79,47,0,0,59,2,1.24,0.84,2.08,1.24,2.08,/en/squads/fb10988f/2012-2013/Swansea-City-Stats
ENG-Premier League,1213,Tottenham Hotspur,28,26.3,,38,418,3420,38,62,45,107,62,0,0,54,2,1.63,1.18,2.82,1.63,2.82,/en/squads/361ca564/2012-2013/Tottenham-Hotspur-Stats
ENG-Premier League,1213,West Brom,25,27.6,,38,418,3420,38,50,38,88,45,5,7,62,4,1.32,1.0,2.32,1.18,2.18,/en/squads/60c6b05f/2012-2013/West-Bromwich-Albion-Stats
ENG-Premier League,1213,West Ham United,26,28.0,,38,418,3420,38,43,33,76,39,4,4,74,1,1.13,0.87,2.0,1.03,1.89,/en/squads/7c21e445/2012-2013/West-Ham-United-Stats
ENG-Premier League,1213,Wigan Athletic,28,27.7,,38,418,3420,38,45,35,80,44,1,1,66,2,1.18,0.92,2.11,1.16,2.08,/en/squads/e59ddc76/2012-2013/Wigan-Athletic-Stats
