league,season,game,game_id,period,minute,second,expanded_minute,type,outcome_type,team_id,team,player_id,player,x,y,end_x,end_y,goal_mouth_y,goal_mouth_z,blocked_x,blocked_y,qualifiers,is_touch,is_shot,is_goal,card_type,related_event_id,related_player_id
ENG-Premier League,2223,2022-10-16 Leeds-Arsenal,1640777,FirstHalf,0,,0,OffsideGiven,Unsuccessful,19,Leeds,83459.0,Rodrigo,59.4,6.2,,,,,,,[],False,,,,,
ENG-Premier League,2223,2022-10-16 Leeds-Arsenal,1640777,FirstHalf,0,0.0,0,Start,Successful,13,Arsenal,,,0.0,0.0,,,,,,,[],False,,,,,
ENG-Premier League,2223,2022-10-16 Leeds-Arsenal,1640777,FirstHalf,0,0.0,0,Start,Successful,19,Leeds,,,0.0,0.0,,,,,,,[],False,,,,,
ENG-Premier League,2223,2022-10-16 Leeds-Arsenal,1640777,FirstHalf,0,0.0,0,Pass,Successful,13,Arsenal,279379.0,Gabriel Jesus,50.1,49.9,25.3,47.8,,,,,"[{'type': {'displayName': 'Zone', 'value': 56}, 'value': 'Back'}, {'type': {'displayName': 'StandingSave', 'value': 178}}, {'type': {'displayName': 'Angle', 'value': 213}, 'value': '3.20'}, {'type': {'displayName': 'Length', 'value': 212}, 'value': '26.1'}, {'type': {'displayName': 'PassEndY', 'value': 141}, 'value': '47.8'}, {'type': {'displayName': 'PassEndX', 'value': 140}, 'value': '25.3'}]",True,,,,,
ENG-Premier League,2223,2022-10-16 Leeds-Arsenal,1640777,FirstHalf,0,3.0,0,Pass,Unsuccessful,13,Arsenal,316858.0,Aaron Ramsdale,28.4,47.9,93.8,65.4,,,,,"[{'type': {'displayName': 'PassEndX', 'value': 140}, 'value': '93.8'}, {'type': {'displayName': 'Chipped', 'value': 155}}, {'type': {'displayName': 'PassEndY', 'value': 141}, 'value': '65.4'}, {'type': {'displayName': 'StandingSave', 'value': 178}}, {'type': {'displayName': 'Length', 'value': 212}, 'value': '69.7'}, {'type': {'displayName': 'Zone', 'value': 56}, 'value': 'Center'}, {'type': {'displayName': 'Longball', 'value': 1}}, {'type': {'displayName': 'Angle', 'value': 213}, 'value': '0.17'}]",True,,,,,
ENG-Premier League,2223,2022-10-16 Leeds-Arsenal,1640777,FirstHalf,0,8.0,0,KeeperPickup,Successful,19,Leeds,380580.0,Illan Meslier,1.8,32.8,,,,,,,"[{'type': {'displayName': 'StandingSave', 'value': 178}}]",False,,,,,
ENG-Premier League,2223,2022-10-16 Leeds-Arsenal,1640777,FirstHalf,0,18.0,0,Pass,Successful,19,Leeds,380580.0,Illan Meslier,13.8,48.2,21.5,15.9,,,,,"[{'type': {'displayName': 'PassEndX', 'value': 140}, 'value': '21.5'}, {'type': {'displayName': 'KeeperThrow', 'value': 123}}, {'type': {'displayName': 'PassEndY', 'value': 141}, 'value': '15.9'}, {'type': {'displayName': 'StandingSave', 'value': 178}}, {'type': {'displayName': 'Length', 'value': 212}, 'value': '23.4'}, {'type': {'displayName': 'Zone', 'value': 56}, 'value': 'Back'}, {'type': {'displayName': 'Angle', 'value': 213}, 'value': '5.07'}]",True,,,,,
ENG-Premier League,2223,2022-10-16 Leeds-Arsenal,1640777,FirstHalf,0,20.0,0,Pass,Successful,19,Leeds,276205.0,Robin Koch,21.5,15.9,14.4,47.3,,,,,"[{'type': {'displayName': 'Zone', 'value': 56}, 'value': 'Back'}, {'type': {'displayName': 'Angle', 'value': 213}, 'value': '1.91'}, {'type': {'displayName': 'Length', 'value': 212}, 'value': '22.6'}, {'type': {'displayName': 'PassEndY', 'value': 141}, 'value': '47.3'}, {'type': {'displayName': 'PassEndX', 'value': 140}, 'value': '14.4'}, {'type': {'displayName': 'StandingSave', 'value': 178}}]",True,,,,,
ENG-Premier League,2223,2022-10-16 Leeds-Arsenal,1640777,FirstHalf,0,22.0,0,Pass,Successful,19,Leeds,380580.0,Illan Meslier,14.4,47.3,19.2,17.3,,,,,"[{'type': {'displayName': 'PassEndX', 'value': 140}, 'value': '19.2'}, {'type': {'displayName': 'PassEndY', 'value': 141}, 'value': '17.3'}, {'type': {'displayName': 'Length', 'value': 212}, 'value': '21.0'}, {'type': {'displayName': 'StandingSave', 'value': 178}}, {'type': {'displayName': 'Angle', 'value': 213}, 'value': '4.95'}, {'type': {'displayName': 'Zone', 'value': 56}, 'value': 'Back'}]",True,,,,,
ENG-Premier League,2223,2022-10-16 Leeds-Arsenal,1640777,FirstHalf,0,29.0,0,OffsidePass,Successful,19,Leeds,276205.0,Robin Koch,27.4,7.7,59.4,6.2,,,,,"[{'type': {'displayName': 'PassEndY', 'value': 141}, 'value': '6.2'}, {'type': {'displayName': 'Zone', 'value': 56}, 'value': 'Right'}, {'type': {'displayName': 'PlayerCaughtOffside', 'value': 7}, 'value': '83459'}, {'type': {'displayName': 'PassEndX', 'value': 140}, 'value': '59.4'}, {'type': {'displayName': 'StandingSave', 'value': 178}}, {'type': {'displayName': 'Longball', 'value': 1}}]",True,,,,,
