league,season,game,game_id,period,minute,second,expanded_minute,type,outcome_type,team_id,team,player_id,player,x,y,end_x,end_y,goal_mouth_y,goal_mouth_z,blocked_x,blocked_y,qualifiers,is_touch,is_shot,is_goal,card_type,related_event_id,related_player_id
ENG-Premier League,2324,2024-01-21 Bournemouth-Liverpool,1729532,FirstHalf,0,0.0,0,Start,Successful,26,Liverpool,,,0.0,0.0,,,,,,,[],False,,,,,
ENG-Premier League,2324,2024-01-21 Bournemouth-Liverpool,1729532,FirstHalf,0,0.0,0,Start,Successful,183,Bournemouth,,,0.0,0.0,,,,,,,[],False,,,,,
ENG-Premier League,2324,2024-01-21 Bournemouth-Liverpool,1729532,FirstHalf,0,0.0,0,Pass,Successful,183,Bournemouth,136459.0,Dominic Solanke,49.9,49.9,43.7,45.4,,,,,"[{'type': {'displayName': 'Length', 'value': 212}, 'value': '7.2'}, {'type': {'displayName': 'StandingSave', 'value': 178}}, {'type': {'displayName': 'Angle', 'value': 213}, 'value': '3.58'}, {'type': {'displayName': 'PassEndX', 'value': 140}, 'value': '43.7'}, {'type': {'displayName': 'PassEndY', 'value': 141}, 'value': '45.4'}, {'type': {'displayName': 'Zone', 'value': 56}, 'value': 'Back'}]",True,,,,,
ENG-Premier League,2324,2024-01-21 Bournemouth-Liverpool,1729532,FirstHalf,0,1.0,0,Pass,Successful,183,Bournemouth,128882.0,Ryan Christie,43.7,45.4,45.7,53.3,,,,,"[{'type': {'displayName': 'Zone', 'value': 56}, 'value': 'Back'}, {'type': {'displayName': 'Angle', 'value': 213}, 'value': '1.20'}, {'type': {'displayName': 'Length', 'value': 212}, 'value': '5.8'}, {'type': {'displayName': 'PassEndY', 'value': 141}, 'value': '53.3'}, {'type': {'displayName': 'PassEndX', 'value': 140}, 'value': '45.7'}, {'type': {'displayName': 'StandingSave', 'value': 178}}]",True,,,,,
ENG-Premier League,2324,2024-01-21 Bournemouth-Liverpool,1729532,FirstHalf,0,2.0,0,Pass,Unsuccessful,183,Bournemouth,136456.0,Lewis Cook,45.7,53.3,76.2,11.8,,,,,"[{'type': {'displayName': 'PassEndX', 'value': 140}, 'value': '76.2'}, {'type': {'displayName': 'PassEndY', 'value': 141}, 'value': '11.8'}, {'type': {'displayName': 'StandingSave', 'value': 178}}, {'type': {'displayName': 'Zone', 'value': 56}, 'value': 'Right'}, {'type': {'displayName': 'Longball', 'value': 1}}, {'type': {'displayName': 'Chipped', 'value': 155}}, {'type': {'displayName': 'Length', 'value': 212}, 'value': '42.7'}, {'type': {'displayName': 'Angle', 'value': 213}, 'value': '5.56'}]",True,,,,,
ENG-Premier League,2324,2024-01-21 Bournemouth-Liverpool,1729532,FirstHalf,0,5.0,0,Pass,Successful,26,Liverpool,136451.0,Joe Gomez,21.2,90.7,30.7,80.4,,,,,"[{'type': {'displayName': 'PassEndY', 'value': 141}, 'value': '80.4'}, {'type': {'displayName': 'PassEndX', 'value': 140}, 'value': '30.7'}, {'type': {'displayName': 'Zone', 'value': 56}, 'value': 'Back'}, {'type': {'displayName': 'StandingSave', 'value': 178}}, {'type': {'displayName': 'Angle', 'value': 213}, 'value': '5.67'}, {'type': {'displayName': 'Length', 'value': 212}, 'value': '12.2'}, {'type': {'displayName': 'HeadPass', 'value': 3}}]",True,,,,,
ENG-Premier League,2324,2024-01-21 Bournemouth-Liverpool,1729532,FirstHalf,0,6.0,0,BallRecovery,Successful,26,Liverpool,355354.0,Curtis Jones,30.7,80.4,,,,,,,[],False,,,,,
ENG-Premier League,2324,2024-01-21 Bournemouth-Liverpool,1729532,FirstHalf,0,8.0,0,Pass,Successful,26,Liverpool,355354.0,Curtis Jones,29.5,82.9,20.4,76.3,,,,,"[{'type': {'displayName': 'Zone', 'value': 56}, 'value': 'Back'}, {'type': {'displayName': 'StandingSave', 'value': 178}}, {'type': {'displayName': 'PassEndX', 'value': 140}, 'value': '20.4'}, {'type': {'displayName': 'Angle', 'value': 213}, 'value': '3.58'}, {'type': {'displayName': 'Length', 'value': 212}, 'value': '10.6'}, {'type': {'displayName': 'PassEndY', 'value': 141}, 'value': '76.3'}]",True,,,,,
ENG-Premier League,2324,2024-01-21 Bournemouth-Liverpool,1729532,FirstHalf,0,8.0,0,Pass,Successful,26,Liverpool,95408.0,Virgil van Dijk,20.4,76.3,15.7,90.4,,,,,"[{'type': {'displayName': 'Length', 'value': 212}, 'value': '10.8'}, {'type': {'displayName': 'Angle', 'value': 213}, 'value': '2.05'}, {'type': {'displayName': 'PassEndY', 'value': 141}, 'value': '90.4'}, {'type': {'displayName': 'StandingSave', 'value': 178}}, {'type': {'displayName': 'Zone', 'value': 56}, 'value': 'Back'}, {'type': {'displayName': 'PassEndX', 'value': 140}, 'value': '15.7'}]",True,,,,,
ENG-Premier League,2324,2024-01-21 Bournemouth-Liverpool,1729532,FirstHalf,0,9.0,0,Pass,Unsuccessful,26,Liverpool,136451.0,Joe Gomez,15.7,90.4,20.9,86.2,,,,,"[{'type': {'displayName': 'StandingSave', 'value': 178}}, {'type': {'displayName': 'Length', 'value': 212}, 'value': '6.2'}, {'type': {'displayName': 'Chipped', 'value': 155}}, {'type': {'displayName': 'Angle', 'value': 213}, 'value': '5.80'}, {'type': {'displayName': 'Zone', 'value': 56}, 'value': 'Back'}, {'type': {'displayName': 'PassEndY', 'value': 141}, 'value': '86.2'}, {'type': {'displayName': 'PassEndX', 'value': 140}, 'value': '20.9'}]",True,,,,,
ENG-Premier League,2324,2024-01-21 Bournemouth-Liverpool,1729532,FirstHalf,0,9.0,0,BallTouch,Successful,183,Bournemouth,344314.0,Marcus Tavernier,78.0,13.0,,,,,,,"[{'type': {'displayName': 'OtherBodyPart', 'value': 21}}, {'type': {'displayName': 'Zone', 'value': 56}, 'value': 'Right'}]",True,,,,,
ENG-Premier League,2324,2024-01-21 Bournemouth-Liverpool,1729532,FirstHalf,0,11.0,0,Aerial,Successful,183,Bournemouth,136459.0,Dominic Solanke,82.6,22.8,,,,,,,"[{'type': {'displayName': 'Zone', 'value': 56}, 'value': 'Center'}, {'type': {'displayName': 'Offensive', 'value': 286}}, {'type': {'displayName': 'OppositeRelatedEvent', 'value': 233}, 'value': '8'}]",False,,,,,
ENG-Premier League,2324,2024-01-21 Bournemouth-Liverpool,1729532,FirstHalf,0,11.0,0,Aerial,Unsuccessful,26,Liverpool,95408.0,Virgil van Dijk,17.4,77.2,,,,,,,"[{'type': {'displayName': 'OppositeRelatedEvent', 'value': 233}, 'value': '7'}, {'type': {'displayName': 'Defensive', 'value': 285}}, {'type': {'displayName': 'Zone', 'value': 56}, 'value': 'Back'}]",False,,,,,
ENG-Premier League,2324,2024-01-21 Bournemouth-Liverpool,1729532,FirstHalf,0,11.0,0,Pass,Unsuccessful,183,Bournemouth,136459.0,Dominic Solanke,84.4,23.2,84.9,25.3,,,,,"[{'type': {'displayName': 'Zone', 'value': 56}, 'value': 'Center'}, {'type': {'displayName': 'Angle', 'value': 213}, 'value': '1.22'}, {'type': {'displayName': 'HeadPass', 'value': 3}}, {'type': {'displayName': 'PassEndX', 'value': 140}, 'value': '84.9'}, {'type': {'displayName': 'PassEndY', 'value': 141}, 'value': '25.3'}, {'type': {'displayName': 'Length', 'value': 212}, 'value': '1.5'}]",True,,,,,
ENG-Premier League,2324,2024-01-21 Bournemouth-Liverpool,1729532,FirstHalf,0,11.0,0,BallTouch,Successful,26,Liverpool,95408.0,Virgil van Dijk,14.0,73.5,,,,,,,"[{'type': {'displayName': 'Head', 'value': 15}}, {'type': {'displayName': 'Zone', 'value': 56}, 'value': 'Back'}]",True,,,,,
ENG-Premier League,2324,2024-01-21 Bournemouth-Liverpool,1729532,FirstHalf,0,12.0,0,Pass,Unsuccessful,26,Liverpool,136451.0,Joe Gomez,14.1,82.7,26.2,82.4,,,,,"[{'type': {'displayName': 'PassEndX', 'value': 140}, 'value': '26.2'}, {'type': {'displayName': 'PassEndY', 'value': 141}, 'value': '82.4'}, {'type': {'displayName': 'Length', 'value': 212}, 'value': '12.7'}, {'type': {'displayName': 'Angle', 'value': 213}, 'value': '6.27'}, {'type': {'displayName': 'Zone', 'value': 56}, 'value': 'Back'}]",True,,,,,
ENG-Premier League,2324,2024-01-21 Bournemouth-Liverpool,1729532,FirstHalf,0,13.0,0,Pass,Successful,183,Bournemouth,128882.0,Ryan Christie,76.0,16.1,75.9,24.4,,,,,"[{'type': {'displayName': 'Angle', 'value': 213}, 'value': '1.59'}, {'type': {'displayName': 'StandingSave', 'value': 178}}, {'type': {'displayName': 'Zone', 'value': 56}, 'value': 'Center'}, {'type': {'displayName': 'PassEndY', 'value': 141}, 'value': '24.4'}, {'type': {'displayName': 'Length', 'value': 212}, 'value': '5.6'}, {'type': {'displayName': 'PassEndX', 'value': 140}, 'value': '75.9'}]",True,,,,,
