league,season,game,game_id,period,minute,second,expanded_minute,type,outcome_type,team_id,team,player_id,player,x,y,end_x,end_y,goal_mouth_y,goal_mouth_z,blocked_x,blocked_y,qualifiers,is_touch,is_shot,is_goal,card_type,related_event_id,related_player_id
ENG-Premier League,2324,2024-02-18 Luton-Manchester United,1729485,FirstHalf,0,0.0,0,Start,Successful,32,Man Utd,,,0.0,0.0,,,,,,,[],False,,,,,
ENG-Premier League,2324,2024-02-18 Luton-Manchester United,1729485,FirstHalf,0,0.0,0,Start,Successful,95,Luton,,,0.0,0.0,,,,,,,[],False,,,,,
ENG-Premier League,2324,2024-02-18 Luton-Manchester United,1729485,FirstHalf,0,0.0,0,Pass,Successful,95,Luton,349102.0,Albert Sambi Lokonga,50.3,49.7,43.6,51.3,,,,,"[{'type': {'displayName': 'Angle', 'value': 213}, 'value': '2.99'}, {'type': {'displayName': 'PassEndX', 'value': 140}, 'value': '43.6'}, {'type': {'displayName': 'StandingSave', 'value': 178}}, {'type': {'displayName': 'Zone', 'value': 56}, 'value': 'Back'}, {'type': {'displayName': 'PassEndY', 'value': 141}, 'value': '51.3'}, {'type': {'displayName': 'Length', 'value': 212}, 'value': '7.1'}]",True,,,,,
ENG-Premier League,2324,2024-02-18 Luton-Manchester United,1729485,FirstHalf,0,5.0,0,Pass,Successful,95,Luton,92547.0,Ross Barkley,59.8,68.0,63.8,73.4,,,,,"[{'type': {'displayName': 'PassEndY', 'value': 141}, 'value': '73.4'}, {'type': {'displayName': 'PassEndX', 'value': 140}, 'value': '63.8'}, {'type': {'displayName': 'StandingSave', 'value': 178}}, {'type': {'displayName': 'Zone', 'value': 56}, 'value': 'Center'}, {'type': {'displayName': 'Length', 'value': 212}, 'value': '5.6'}, {'type': {'displayName': 'Angle', 'value': 213}, 'value': '0.72'}]",True,,,,,
ENG-Premier League,2324,2024-02-18 Luton-Manchester United,1729485,FirstHalf,0,5.0,0,Dispossessed,Successful,95,Luton,365244.0,Tahith Chong,65.0,76.5,,,,,,,"[{'type': {'displayName': 'Offensive', 'value': 286}}, {'type': {'displayName': 'Zone', 'value': 56}, 'value': 'Center'}, {'type': {'displayName': 'OppositeRelatedEvent', 'value': 233}, 'value': '3'}]",True,,,,,
ENG-Premier League,2324,2024-02-18 Luton-Manchester United,1729485,FirstHalf,0,6.0,0,Tackle,Successful,32,Man Utd,353418.0,Diogo Dalot,35.0,23.5,,,,,,,"[{'type': {'displayName': 'OppositeRelatedEvent', 'value': 233}, 'value': '5'}, {'type': {'displayName': 'StandingSave', 'value': 178}}, {'type': {'displayName': 'Zone', 'value': 56}, 'value': 'Back'}, {'type': {'displayName': 'Defensive', 'value': 285}}]",True,,,,,
ENG-Premier League,2324,2024-02-18 Luton-Manchester United,1729485,FirstHalf,0,6.0,0,BallRecovery,Successful,32,Man Utd,353418.0,Diogo Dalot,40.7,24.4,,,,,,,[],False,,,,,
ENG-Premier League,2324,2024-02-18 Luton-Manchester United,1729485,FirstHalf,0,8.0,0,Pass,Successful,32,Man Utd,353418.0,Diogo Dalot,42.5,26.8,46.8,9.8,,,,,"[{'type': {'displayName': 'PassEndX', 'value': 140}, 'value': '46.8'}, {'type': {'displayName': 'PassEndY', 'value': 141}, 'value': '9.8'}, {'type': {'displayName': 'Zone', 'value': 56}, 'value': 'Back'}, {'type': {'displayName': 'StandingSave', 'value': 178}}, {'type': {'displayName': 'Angle', 'value': 213}, 'value': '5.08'}, {'type': {'displayName': 'Length', 'value': 212}, 'value': '12.4'}]",True,,,,,
ENG-Premier League,2324,2024-02-18 Luton-Manchester United,1729485,FirstHalf,0,10.0,0,Pass,Unsuccessful,32,Man Utd,437022.0,Alejandro Garnacho,44.9,9.2,55.1,31.5,,,,,"[{'type': {'displayName': 'StandingSave', 'value': 178}}, {'type': {'displayName': 'PassEndX', 'value': 140}, 'value': '55.1'}, {'type': {'displayName': 'PassEndY', 'value': 141}, 'value': '31.5'}, {'type': {'displayName': 'Length', 'value': 212}, 'value': '18.6'}, {'type': {'displayName': 'Angle', 'value': 213}, 'value': '0.96'}, {'type': {'displayName': 'Zone', 'value': 56}, 'value': 'Center'}]",True,,,,,
ENG-Premier League,2324,2024-02-18 Luton-Manchester United,1729485,FirstHalf,0,11.0,0,Interception,Successful,95,Luton,366080.0,Gabriel Osho,45.6,67.7,,,,,,,"[{'type': {'displayName': 'StandingSave', 'value': 178}}, {'type': {'displayName': 'Zone', 'value': 56}, 'value': 'Back'}]",True,,,,,
