league,season,game,game_id,period,minute,second,expanded_minute,type,outcome_type,team_id,team,player_id,player,x,y,end_x,end_y,goal_mouth_y,goal_mouth_z,blocked_x,blocked_y,qualifiers,is_touch,is_shot,is_goal,card_type,related_event_id,related_player_id
ENG-Premier League,2425,2025-03-08 Brighton-Fulham,1821150,FirstHalf,0,0.0,0,Start,Successful,211,Brighton,,,0.0,0.0,,,,,,,[],False,,,,,
ENG-Premier League,2425,2025-03-08 Brighton-Fulham,1821150,FirstHalf,0,0.0,0,Start,Successful,170,Fulham,,,0.0,0.0,,,,,,,[],False,,,,,
ENG-Premier League,2425,2025-03-08 Brighton-Fulham,1821150,FirstHalf,0,0.0,0,Pass,Successful,211,Brighton,470690.0,Yasin Ayari,49.9,49.9,23.0,53.4,,,,,"[{'type': {'displayName': 'PassEndY', 'value': 141}, 'value': '53.4'}, {'type': {'displayName': 'PassEndX', 'value': 140}, 'value': '23.0'}, {'type': {'displayName': 'StandingSave', 'value': 178}}, {'type': {'displayName': 'Zone', 'value': 56}, 'value': 'Back'}, {'type': {'displayName': 'Length', 'value': 212}, 'value': '28.3'}, {'type': {'displayName': 'Angle', 'value': 213}, 'value': '3.06'}]",True,,,,,
ENG-Premier League,2425,2025-03-08 Brighton-Fulham,1821150,FirstHalf,0,4.0,0,Pass,Unsuccessful,211,Brighton,400138.0,Bart Verbruggen,24.5,50.9,74.5,69.7,,,,,"[{'type': {'displayName': 'StandingSave', 'value': 178}}, {'type': {'displayName': 'PassEndY', 'value': 141}, 'value': '69.7'}, {'type': {'displayName': 'PassEndX', 'value': 140}, 'value': '74.5'}, {'type': {'displayName': 'Length', 'value': 212}, 'value': '54.0'}, {'type': {'displayName': 'Longball', 'value': 1}}, {'type': {'displayName': 'Angle', 'value': 213}, 'value': '0.24'}, {'type': {'displayName': 'Zone', 'value': 56}, 'value': 'Center'}]",True,,,,,
ENG-Premier League,2425,2025-03-08 Brighton-Fulham,1821150,FirstHalf,0,8.0,0,Pass,Successful,170,Fulham,300359.0,Issa Diop,25.1,33.1,32.1,40.9,,,,,"[{'type': {'displayName': 'PassEndY', 'value': 141}, 'value': '40.9'}, {'type': {'displayName': 'Length', 'value': 212}, 'value': '9.1'}, {'type': {'displayName': 'PassEndX', 'value': 140}, 'value': '32.1'}, {'type': {'displayName': 'Angle', 'value': 213}, 'value': '0.63'}, {'type': {'displayName': 'Zone', 'value': 56}, 'value': 'Back'}, {'type': {'displayName': 'HeadPass', 'value': 3}}]",True,,,,,
ENG-Premier League,2425,2025-03-08 Brighton-Fulham,1821150,FirstHalf,0,9.0,0,Pass,Successful,170,Fulham,363686.0,Emile Smith Rowe,32.0,41.7,45.6,53.2,,,,,"[{'type': {'displayName': 'Angle', 'value': 213}, 'value': '0.50'}, {'type': {'displayName': 'Length', 'value': 212}, 'value': '16.3'}, {'type': {'displayName': 'Zone', 'value': 56}, 'value': 'Back'}, {'type': {'displayName': 'PassEndX', 'value': 140}, 'value': '45.6'}, {'type': {'displayName': 'HeadPass', 'value': 3}}, {'type': {'displayName': 'PassEndY', 'value': 141}, 'value': '53.2'}]",True,,,,,
ENG-Premier League,2425,2025-03-08 Brighton-Fulham,1821150,FirstHalf,0,11.0,0,BallRecovery,Successful,170,Fulham,108186.0,Raúl Jiménez,45.0,53.3,,,,,,,[],False,,,,,
ENG-Premier League,2425,2025-03-08 Brighton-Fulham,1821150,FirstHalf,0,11.0,0,Dispossessed,Successful,170,Fulham,108186.0,Raúl Jiménez,45.0,54.7,,,,,,,"[{'type': {'displayName': 'OppositeRelatedEvent', 'value': 233}, 'value': '6'}, {'type': {'displayName': 'Offensive', 'value': 286}}, {'type': {'displayName': 'Zone', 'value': 56}, 'value': 'Back'}]",True,,,,,
ENG-Premier League,2425,2025-03-08 Brighton-Fulham,1821150,FirstHalf,0,12.0,0,Tackle,Successful,211,Brighton,469629.0,Jack Hinshelwood,55.0,45.3,,,,,,,"[{'type': {'displayName': 'Defensive', 'value': 285}}, {'type': {'displayName': 'StandingSave', 'value': 178}}, {'type': {'displayName': 'OppositeRelatedEvent', 'value': 233}, 'value': '7'}, {'type': {'displayName': 'Zone', 'value': 56}, 'value': 'Center'}]",True,,,,,
ENG-Premier League,2425,2025-03-08 Brighton-Fulham,1821150,FirstHalf,0,16.0,0,BallRecovery,Successful,211,Brighton,365402.0,Jan Paul van Hecke,29.9,20.5,,,,,,,[],False,,,,,
ENG-Premier League,2425,2025-03-08 Brighton-Fulham,1821150,FirstHalf,0,19.0,0,Pass,Successful,211,Brighton,365402.0,Jan Paul van Hecke,27.5,30.5,28.8,65.6,,,,,"[{'type': {'displayName': 'Angle', 'value': 213}, 'value': '1.51'}, {'type': {'displayName': 'PassEndY', 'value': 141}, 'value': '65.6'}, {'type': {'displayName': 'Length', 'value': 212}, 'value': '23.9'}, {'type': {'displayName': 'PassEndX', 'value': 140}, 'value': '28.8'}, {'type': {'displayName': 'Zone', 'value': 56}, 'value': 'Back'}, {'type': {'displayName': 'StandingSave', 'value': 178}}]",True,,,,,
ENG-Premier League,2425,2025-03-08 Brighton-Fulham,1821150,FirstHalf,0,24.0,0,Pass,Successful,211,Brighton,109922.0,Adam Webster,37.2,78.7,41.2,91.5,,,,,"[{'type': {'displayName': 'StandingSave', 'value': 178}}, {'type': {'displayName': 'Length', 'value': 212}, 'value': '9.7'}, {'type': {'displayName': 'PassEndY', 'value': 141}, 'value': '91.5'}, {'type': {'displayName': 'PassEndX', 'value': 140}, 'value': '41.2'}, {'type': {'displayName': 'Angle', 'value': 213}, 'value': '1.12'}, {'type': {'displayName': 'Zone', 'value': 56}, 'value': 'Back'}]",True,,,,,
ENG-Premier League,2425,2025-03-08 Brighton-Fulham,1821150,FirstHalf,0,26.0,0,Pass,Successful,211,Brighton,298694.0,Pervis Estupiñán,38.5,91.4,42.9,73.8,,,,,"[{'type': {'displayName': 'StandingSave', 'value': 178}}, {'type': {'displayName': 'Zone', 'value': 56}, 'value': 'Back'}, {'type': {'displayName': 'PassEndX', 'value': 140}, 'value': '42.9'}, {'type': {'displayName': 'Length', 'value': 212}, 'value': '12.8'}, {'type': {'displayName': 'PassEndY', 'value': 141}, 'value': '73.8'}, {'type': {'displayName': 'Angle', 'value': 213}, 'value': '5.08'}]",True,,,,,
ENG-Premier League,2425,2025-03-08 Brighton-Fulham,1821150,FirstHalf,0,31.0,0,Pass,Unsuccessful,211,Brighton,436048.0,Carlos Baleba,44.3,94.2,61.4,86.9,,,,,"[{'type': {'displayName': 'Zone', 'value': 56}, 'value': 'Left'}, {'type': {'displayName': 'PassEndX', 'value': 140}, 'value': '61.4'}, {'type': {'displayName': 'StandingSave', 'value': 178}}, {'type': {'displayName': 'PassEndY', 'value': 141}, 'value': '86.9'}, {'type': {'displayName': 'Length', 'value': 212}, 'value': '18.6'}, {'type': {'displayName': 'Angle', 'value': 213}, 'value': '6.01'}]",True,,,,,
ENG-Premier League,2425,2025-03-08 Brighton-Fulham,1821150,FirstHalf,0,32.0,0,Clearance,Successful,170,Fulham,300359.0,Issa Diop,38.0,14.8,48.7,43.2,,,,,"[{'type': {'displayName': 'Length', 'value': 212}, 'value': '22.3'}, {'type': {'displayName': 'PassEndY', 'value': 141}, 'value': '43.2'}, {'type': {'displayName': 'PassEndX', 'value': 140}, 'value': '48.7'}, {'type': {'displayName': 'Zone', 'value': 56}, 'value': 'Back'}, {'type': {'displayName': 'StandingSave', 'value': 178}}, {'type': {'displayName': 'Angle', 'value': 213}, 'value': '1.04'}]",True,,,,,
ENG-Premier League,2425,2025-03-08 Brighton-Fulham,1821150,FirstHalf,0,35.0,0,Pass,Successful,211,Brighton,470690.0,Yasin Ayari,51.1,55.2,58.3,33.3,,,,,"[{'type': {'displayName': 'Length', 'value': 212}, 'value': '16.7'}, {'type': {'displayName': 'Angle', 'value': 213}, 'value': '5.18'}, {'type': {'displayName': 'StandingSave', 'value': 178}}, {'type': {'displayName': 'PassEndY', 'value': 141}, 'value': '33.3'}, {'type': {'displayName': 'PassEndX', 'value': 140}, 'value': '58.3'}, {'type': {'displayName': 'Zone', 'value': 56}, 'value': 'Center'}]",True,,,,,
ENG-Premier League,2425,2025-03-08 Brighton-Fulham,1821150,FirstHalf,0,40.0,0,Pass,Successful,211,Brighton,469629.0,Jack Hinshelwood,75.2,18.2,82.7,6.8,,,,,"[{'type': {'displayName': 'Length', 'value': 212}, 'value': '11.1'}, {'type': {'displayName': 'PassEndY', 'value': 141}, 'value': '6.8'}, {'type': {'displayName': 'StandingSave', 'value': 178}}, {'type': {'displayName': 'PassEndX', 'value': 140}, 'value': '82.7'}, {'type': {'displayName': 'Zone', 'value': 56}, 'value': 'Right'}, {'type': {'displayName': 'Angle', 'value': 213}, 'value': '5.51'}]",True,,,,,
ENG-Premier League,2425,2025-03-08 Brighton-Fulham,1821150,FirstHalf,0,41.0,0,Pass,Unsuccessful,211,Brighton,484175.0,Yankuba Minteh,81.5,6.2,84.6,20.9,,,,,"[{'type': {'displayName': 'StandingSave', 'value': 178}}, {'type': {'displayName': 'Length', 'value': 212}, 'value': '10.5'}, {'type': {'displayName': 'PassEndY', 'value': 141}, 'value': '20.9'}, {'type': {'displayName': 'PassEndX', 'value': 140}, 'value': '84.6'}, {'type': {'displayName': 'Angle', 'value': 213}, 'value': '1.26'}, {'type': {'displayName': 'Zone', 'value': 56}, 'value': 'Right'}]",True,,,,,
