league,season,game,game_id,period,minute,second,expanded_minute,type,outcome_type,team_id,team,player_id,player,x,y,end_x,end_y,goal_mouth_y,goal_mouth_z,blocked_x,blocked_y,qualifiers,is_touch,is_shot,is_goal,card_type,related_event_id,related_player_id
ENG-Premier League,2425,2025-01-25 Wolves-Arsenal,1821405,FirstHalf,0,0,0,Start,Successful,161,Wolves,,,0.0,0.0,,,,,,,[],False,,,,,
ENG-Premier League,2425,2025-01-25 Wolves-Arsenal,1821405,FirstHalf,0,0,0,Start,Successful,13,Arsenal,,,0.0,0.0,,,,,,,[],False,,,,,
ENG-Premier League,2425,2025-01-25 Wolves-Arsenal,1821405,FirstHalf,0,0,0,Pass,Successful,13,Arsenal,332325.0,Declan Rice,50.0,50.0,29.0,49.6,,,,,"[{'type': {'displayName': 'Angle', 'value': 213}, 'value': '3.15'}, {'type': {'displayName': 'PassEndX', 'value': 140}, 'value': '29.0'}, {'type': {'displayName': 'PassEndY', 'value': 141}, 'value': '49.6'}, {'type': {'displayName': 'StandingSave', 'value': 178}}, {'type': {'displayName': 'Zone', 'value': 56}, 'value': 'Back'}, {'type': {'displayName': 'Length', 'value': 212}, 'value': '22.1'}]",True,,,,,
ENG-Premier League,2425,2025-01-25 Wolves-Arsenal,1821405,FirstHalf,0,2,0,Pass,Successful,13,Arsenal,276366.0,David Raya,29.0,49.4,42.3,77.0,,,,,"[{'type': {'displayName': 'Length', 'value': 212}, 'value': '23.4'}, {'type': {'displayName': 'Zone', 'value': 56}, 'value': 'Back'}, {'type': {'displayName': 'Angle', 'value': 213}, 'value': '0.93'}, {'type': {'displayName': 'StandingSave', 'value': 178}}, {'type': {'displayName': 'PassEndY', 'value': 141}, 'value': '77.0'}, {'type': {'displayName': 'PassEndX', 'value': 140}, 'value': '42.3'}]",True,,,,,
ENG-Premier League,2425,2025-01-25 Wolves-Arsenal,1821405,FirstHalf,0,6,0,Pass,Successful,13,Arsenal,467918.0,Myles Lewis-Skelly,42.5,76.6,34.6,69.3,,,,,"[{'type': {'displayName': 'PassEndY', 'value': 141}, 'value': '69.3'}, {'type': {'displayName': 'Angle', 'value': 213}, 'value': '3.68'}, {'type': {'displayName': 'PassEndX', 'value': 140}, 'value': '34.6'}, {'type': {'displayName': 'Length', 'value': 212}, 'value': '9.7'}, {'type': {'displayName': 'StandingSave', 'value': 178}}, {'type': {'displayName': 'Zone', 'value': 56}, 'value': 'Back'}]",True,,,,,
ENG-Premier League,2425,2025-01-25 Wolves-Arsenal,1821405,FirstHalf,0,10,0,Pass,Successful,13,Arsenal,334087.0,Gabriel Magalhães,35.8,71.5,50.2,90.8,,,,,"[{'type': {'displayName': 'PassEndX', 'value': 140}, 'value': '50.2'}, {'type': {'displayName': 'PassEndY', 'value': 141}, 'value': '90.8'}, {'type': {'displayName': 'Angle', 'value': 213}, 'value': '0.71'}, {'type': {'displayName': 'Zone', 'value': 56}, 'value': 'Left'}, {'type': {'displayName': 'Length', 'value': 212}, 'value': '20.0'}, {'type': {'displayName': 'StandingSave', 'value': 178}}]",True,,,,,
ENG-Premier League,2425,2025-01-25 Wolves-Arsenal,1821405,FirstHalf,0,13,0,Pass,Successful,13,Arsenal,467918.0,Myles Lewis-Skelly,53.5,90.9,59.6,94.7,,,,,"[{'type': {'displayName': 'Zone', 'value': 56}, 'value': 'Left'}, {'type': {'displayName': 'PassEndX', 'value': 140}, 'value': '59.6'}, {'type': {'displayName': 'Angle', 'value': 213}, 'value': '0.38'}, {'type': {'displayName': 'PassEndY', 'value': 141}, 'value': '94.7'}, {'type': {'displayName': 'StandingSave', 'value': 178}}, {'type': {'displayName': 'Length', 'value': 212}, 'value': '6.9'}]",True,,,,,
ENG-Premier League,2425,2025-01-25 Wolves-Arsenal,1821405,FirstHalf,0,14,0,Pass,Successful,13,Arsenal,113994.0,Leandro Trossard,60.5,97.4,45.6,89.3,,,,,"[{'type': {'displayName': 'StandingSave', 'value': 178}}, {'type': {'displayName': 'Length', 'value': 212}, 'value': '16.6'}, {'type': {'displayName': 'Angle', 'value': 213}, 'value': '3.48'}, {'type': {'displayName': 'Zone', 'value': 56}, 'value': 'Back'}, {'type': {'displayName': 'PassEndY', 'value': 141}, 'value': '89.3'}, {'type': {'displayName': 'PassEndX', 'value': 140}, 'value': '45.6'}]",True,,,,,
ENG-Premier League,2425,2025-01-25 Wolves-Arsenal,1821405,FirstHalf,0,18,0,Pass,Successful,13,Arsenal,334087.0,Gabriel Magalhães,46.8,76.4,38.2,59.4,,,,,"[{'type': {'displayName': 'StandingSave', 'value': 178}}, {'type': {'displayName': 'PassEndY', 'value': 141}, 'value': '59.4'}, {'type': {'displayName': 'Length', 'value': 212}, 'value': '14.7'}, {'type': {'displayName': 'Zone', 'value': 56}, 'value': 'Back'}, {'type': {'displayName': 'PassEndX', 'value': 140}, 'value': '38.2'}, {'type': {'displayName': 'Angle', 'value': 213}, 'value': '4.05'}]",True,,,,,
ENG-Premier League,2425,2025-01-25 Wolves-Arsenal,1821405,FirstHalf,0,20,0,Pass,Successful,13,Arsenal,361822.0,William Saliba,34.5,52.3,35.9,31.7,,,,,"[{'type': {'displayName': 'Angle', 'value': 213}, 'value': '4.82'}, {'type': {'displayName': 'PassEndX', 'value': 140}, 'value': '35.9'}, {'type': {'displayName': 'PassEndY', 'value': 141}, 'value': '31.7'}, {'type': {'displayName': 'StandingSave', 'value': 178}}, {'type': {'displayName': 'Zone', 'value': 56}, 'value': 'Back'}, {'type': {'displayName': 'Length', 'value': 212}, 'value': '14.1'}]",True,,,,,
ENG-Premier League,2425,2025-01-25 Wolves-Arsenal,1821405,FirstHalf,0,26,0,Pass,Successful,13,Arsenal,388650.0,Jurriën Timber,39.6,29.4,33.7,51.9,,,,,"[{'type': {'displayName': 'Length', 'value': 212}, 'value': '16.5'}, {'type': {'displayName': 'Zone', 'value': 56}, 'value': 'Back'}, {'type': {'displayName': 'StandingSave', 'value': 178}}, {'type': {'displayName': 'PassEndY', 'value': 141}, 'value': '51.9'}, {'type': {'displayName': 'PassEndX', 'value': 140}, 'value': '33.7'}, {'type': {'displayName': 'Angle', 'value': 213}, 'value': '1.96'}]",True,,,,,
ENG-Premier League,2425,2025-01-25 Wolves-Arsenal,1821405,FirstHalf,0,28,0,Pass,Successful,13,Arsenal,361822.0,William Saliba,33.7,51.9,39.5,64.5,,,,,"[{'type': {'displayName': 'Angle', 'value': 213}, 'value': '0.95'}, {'type': {'displayName': 'Length', 'value': 212}, 'value': '10.5'}, {'type': {'displayName': 'Zone', 'value': 56}, 'value': 'Back'}, {'type': {'displayName': 'StandingSave', 'value': 178}}, {'type': {'displayName': 'PassEndX', 'value': 140}, 'value': '39.5'}, {'type': {'displayName': 'PassEndY', 'value': 141}, 'value': '64.5'}]",True,,,,,
ENG-Premier League,2425,2025-01-25 Wolves-Arsenal,1821405,FirstHalf,0,30,0,Challenge,Unsuccessful,161,Wolves,397585.0,André,58.4,36.4,,,,,,,"[{'type': {'displayName': 'Defensive', 'value': 285}}, {'type': {'displayName': 'OppositeRelatedEvent', 'value': 233}, 'value': '15'}, {'type': {'displayName': 'Zone', 'value': 56}, 'value': 'Center'}]",False,,,,,
ENG-Premier League,2425,2025-01-25 Wolves-Arsenal,1821405,FirstHalf,0,30,0,TakeOn,Successful,13,Arsenal,467918.0,Myles Lewis-Skelly,41.6,63.6,,,,,,,"[{'type': {'displayName': 'Offensive', 'value': 286}}, {'type': {'displayName': 'Zone', 'value': 56}, 'value': 'Back'}, {'type': {'displayName': 'OppositeRelatedEvent', 'value': 233}, 'value': '5'}, {'type': {'displayName': 'StandingSave', 'value': 178}}]",True,,,,,
ENG-Premier League,2425,2025-01-25 Wolves-Arsenal,1821405,FirstHalf,0,33,0,TakeOn,Successful,13,Arsenal,467918.0,Myles Lewis-Skelly,56.8,56.8,,,,,,,"[{'type': {'displayName': 'OppositeRelatedEvent', 'value': 233}, 'value': '836'}, {'type': {'displayName': 'StandingSave', 'value': 178}}, {'type': {'displayName': 'Offensive', 'value': 286}}, {'type': {'displayName': 'Zone', 'value': 56}, 'value': 'Center'}]",True,,,,,
ENG-Premier League,2425,2025-01-25 Wolves-Arsenal,1821405,FirstHalf,0,33,0,Challenge,Unsuccessful,161,Wolves,94868.0,Pablo Sarabia,43.2,43.2,,,,,,,"[{'type': {'displayName': 'Defensive', 'value': 285}}, {'type': {'displayName': 'Zone', 'value': 56}, 'value': 'Back'}, {'type': {'displayName': 'OppositeRelatedEvent', 'value': 233}, 'value': '792'}]",False,,,,,
