league,season,game,game_id,period,minute,second,expanded_minute,type,outcome_type,team_id,team,player_id,player,x,y,end_x,end_y,goal_mouth_y,goal_mouth_z,blocked_x,blocked_y,qualifiers,is_touch,is_shot,is_goal,card_type,related_event_id,related_player_id
ENG-Premier League,2526,2025-08-16 Aston Villa-Newcastle,1903118,FirstHalf,0,0.0,0,Start,Successful,24,Aston Villa,,,0.0,0.0,,,,,,,[],False,,,,,
ENG-Premier League,2526,2025-08-16 Aston Villa-Newcastle,1903118,FirstHalf,0,0.0,0,Start,Successful,23,Newcastle,,,0.0,0.0,,,,,,,[],False,,,,,
ENG-Premier League,2526,2025-08-16 Aston Villa-Newcastle,1903118,FirstHalf,0,0.0,0,Pass,Unsuccessful,23,Newcastle,343501.0,Sandro Tonali,50.0,50.0,95.4,100.0,,,,,"[{'type': {'displayName': 'PassEndX', 'value': 140}, 'value': '95.4'}, {'type': {'displayName': 'Longball', 'value': 1}}, {'type': {'displayName': 'PassEndY', 'value': 141}, 'value': '100.0'}, {'type': {'displayName': 'Angle', 'value': 213}, 'value': '0.63'}, {'type': {'displayName': 'Length', 'value': 212}, 'value': '59.1'}, {'type': {'displayName': 'Zone', 'value': 56}, 'value': 'Left'}]",True,,,,,
ENG-Premier League,2526,2025-08-16 Aston Villa-Newcastle,1903118,FirstHalf,0,28.0,0,Pass,Unsuccessful,24,Aston Villa,322043.0,Matty Cash,5.8,0.0,41.2,25.6,,,,,"[{'type': {'displayName': 'Zone', 'value': 56}, 'value': 'Back'}, {'type': {'displayName': 'Length', 'value': 212}, 'value': '41.4'}, {'type': {'displayName': 'PassEndX', 'value': 140}, 'value': '41.2'}, {'type': {'displayName': 'Angle', 'value': 213}, 'value': '0.45'}, {'type': {'displayName': 'Longball', 'value': 1}}, {'type': {'displayName': 'PassEndY', 'value': 141}, 'value': '25.6'}, {'type': {'displayName': 'ThrowIn', 'value': 107}}]",True,,,,,
ENG-Premier League,2526,2025-08-16 Aston Villa-Newcastle,1903118,FirstHalf,0,29.0,0,Pass,Unsuccessful,23,Newcastle,83078.0,Kieran Trippier,66.2,76.4,77.6,72.7,,,,,"[{'type': {'displayName': 'PassEndX', 'value': 140}, 'value': '77.6'}, {'type': {'displayName': 'Zone', 'value': 56}, 'value': 'Center'}, {'type': {'displayName': 'Angle', 'value': 213}, 'value': '6.08'}, {'type': {'displayName': 'Length', 'value': 212}, 'value': '12.2'}, {'type': {'displayName': 'HeadPass', 'value': 3}}, {'type': {'displayName': 'PassEndY', 'value': 141}, 'value': '72.7'}]",True,,,,,
ENG-Premier League,2526,2025-08-16 Aston Villa-Newcastle,1903118,FirstHalf,0,31.0,0,Pass,Unsuccessful,24,Aston Villa,123167.0,Tyrone Mings,26.8,31.6,40.8,18.0,,,,,"[{'type': {'displayName': 'Zone', 'value': 56}, 'value': 'Back'}, {'type': {'displayName': 'PassEndX', 'value': 140}, 'value': '40.8'}, {'type': {'displayName': 'Angle', 'value': 213}, 'value': '5.72'}, {'type': {'displayName': 'HeadPass', 'value': 3}}, {'type': {'displayName': 'PassEndY', 'value': 141}, 'value': '18.0'}, {'type': {'displayName': 'Length', 'value': 212}, 'value': '17.4'}]",True,,,,,
ENG-Premier League,2526,2025-08-16 Aston Villa-Newcastle,1903118,FirstHalf,0,33.0,0,BallRecovery,Successful,23,Newcastle,415174.0,Tino Livramento,60.8,83.8,,,,,,,[],False,,,,,
ENG-Premier League,2526,2025-08-16 Aston Villa-Newcastle,1903118,FirstHalf,0,39.0,0,Foul,Successful,23,Newcastle,415174.0,Tino Livramento,40.2,95.2,,,,,,,"[{'type': {'displayName': 'Zone', 'value': 56}, 'value': 'Back'}, {'type': {'displayName': 'Offensive', 'value': 286}}, {'type': {'displayName': 'OppositeRelatedEvent', 'value': 233}, 'value': '7'}, {'type': {'displayName': 'Foul', 'value': 13}}]",True,,,,,
ENG-Premier League,2526,2025-08-16 Aston Villa-Newcastle,1903118,FirstHalf,0,39.0,0,Foul,Unsuccessful,24,Aston Villa,318449.0,John McGinn,59.8,4.8,,,,,,,"[{'type': {'displayName': 'Foul', 'value': 13}}, {'type': {'displayName': 'Defensive', 'value': 285}}, {'type': {'displayName': 'Zone', 'value': 56}, 'value': 'Right'}, {'type': {'displayName': 'OppositeRelatedEvent', 'value': 233}, 'value': '8'}]",False,,,,,
ENG-Premier League,2526,2025-08-16 Aston Villa-Newcastle,1903118,FirstHalf,1,17.0,1,Pass,Unsuccessful,23,Newcastle,105720.0,Nick Pope,37.0,94.4,72.9,76.3,,,,,"[{'type': {'displayName': 'Longball', 'value': 1}}, {'type': {'displayName': 'Angle', 'value': 213}, 'value': '5.97'}, {'type': {'displayName': 'PassEndX', 'value': 140}, 'value': '72.9'}, {'type': {'displayName': 'Zone', 'value': 56}, 'value': 'Center'}, {'type': {'displayName': 'PassEndY', 'value': 141}, 'value': '76.3'}, {'type': {'displayName': 'FreekickTaken', 'value': 5}}, {'type': {'displayName': 'Length', 'value': 212}, 'value': '39.7'}]",True,,,,,
