team_name,team_id
AC Ajaccio,610
AC Milan,80
Albania,814
Almeria,1799
Angers,614
Argentina,346
Argentina,28442
Arminia Bielefeld,40
Arsenal,13
Aston Villa,24
Atalanta,300
Athletic Club,53
Atletico Madrid,63
Augsburg,1730
Australia,328
Australia,28439
Austria,324
Auxerre,308
Barcelona,65
Bayer Leverkusen,36
Bayern Munich,37
Belgium,339
Benevento,1503
Bochum,109
Bologna,71
Bordeaux,315
Borussia Dortmund,44
Borussia M.Gladbach,134
Bournemouth,183
Brazil,28440
Brazil,409
Brentford,189
Brest,2332
Brighton,211
Burnley,184
Cadiz,1354
Cagliari,78
Cameroon,863
Canada,28444
Canada,1160
Celta Vigo,62
Chelsea,15
China,28437
Clermont Foot,941
Colombia,30959
Como,1290
Costa Rica,970
Costa Rica,30952
Cremonese,2731
Croatia,337
Crotone,779
Crystal Palace,162
Czechia,332
Darmstadt,1147
Denmark,26938
Denmark,425
Deportivo Alaves,60
Dijon,1364
Ecuador,419
Eibar,824
Eintracht Frankfurt,45
Elche,833
Empoli,272
England,345
England,26939
Espanyol,70
Everton,31
FC Heidenheim,4852
FC Koln,282
Finland,422
Fiorentina,73
France,341
France,26968
Freiburg,50
Frosinone,2732
Fulham,170
Genoa,278
Georgia,413
Germany,27015
Germany,336
Getafe,819
Ghana,965
Girona,2783
Granada,925
Greuther Fuerth,89
Haiti,30949
Hamburger SV,38
Hertha Berlin,47
Hoffenheim,1211
Holstein Kiel,1206
Hungary,327
Inter,75
Ipswich,165
Iran,1293
Ireland,30956
Italy,343
Italy,27016
Jamaica,30957
Japan,28443
Japan,986
Juventus,87
Las Palmas,838
Lazio,77
Le Havre,217
Lecce,79
Leeds,19
Leganes,825
Leicester,14
Lens,309
Levante,832
Lille,607
Liverpool,26
Lorient,146
Luton,95
Lyon,228
Mainz 05,219
Mallorca,51
Manchester City,167
Manchester United,32
Marseille,249
Metz,314
Mexico,972
Monaco,248
Montpellier,311
Monza,269
Morocco,30961
Morocco,495
Nantes,302
Napoli,276
Netherlands,26940
Netherlands,335
New Zealand,28359
Newcastle,23
Nice,613
Nigeria,28436
Nimes,245
North Macedonia,827
Norway,26844
Norwich,168
Nottingham Forest,174
Osasuna,131
Panama,30958
Paris FC,2832
Paris Saint-Germain,304
Parma Calcio 1913,24341
Philippines,30953
Pisa,777
Poland,342
Portugal,340
Portugal,30955
Qatar,2379
RB Leipzig,7614
Rayo Vallecano,64
Real Betis,54
Real Madrid,52
Real Oviedo,61
Real Sociedad,68
Real Valladolid,58
Reims,950
Rennes,313
Roma,84
Romania,412
Russia,326
SD Huesca,5006
Saint-Etienne,145
Salernitana,143
Sampdoria,271
Sassuolo,2889
Saudi Arabia,494
Schalke 04,39
Scotland,424
Senegal,957
Serbia,771
Sevilla,67
Sheffield United,163
Slovakia,484
Slovenia,464
South Africa,28438
South Korea,30960
South Korea,1159
Southampton,18
Spain,338
Spain,26886
Spezia,1501
St. Pauli,283
Strasbourg,148
Sunderland,16
Sweden,344
Sweden,26967
Switzerland,423
Switzerland,30954
Torino,72
Tottenham,30
Toulouse,246
Troyes,229
Tunisia,959
Turkiye,333
USA,28330
USA,461
Udinese,86
Ukraine,462
Union Berlin,796
Uruguay,967
Valencia,55
Venezia,85
Verona,76
VfB Stuttgart,41
Vietnam,30951
Villarreal,839
Wales,421
Watford,27
Werder Bremen,42
West Bromwich Albion,175
West Ham,29
Wolfsburg,33
Wolves,161
Zambia,30950
